angles,ranges
144.49707,133.7
144.73812,135.2
144.7552,133.7
144.76881,135.2
144.84055,133.7
144.95985,132.2
144.97999,132.1
145.17158,135.3
145.405,135.2
145.4236,135.2
145.50818,135.2
145.62978,135.3
145.64381,135.2
145.8461,138.4
146.07187,138.3
146.09201,136.8
146.17582,138.3
146.29971,136.8
146.30763,136.8
146.52061,139.9
146.73875,139.9
146.76041,138.3
146.84346,139.9
146.96964,139.9
146.97144,138.3
147.19513,143.1
147.40563,143
147.42881,143
147.5111,141.4
147.63527,141.4
147.63957,141.5
147.86964,144.6
148.09721,146.1
148.17874,144.6
148.29909,143
148.3095,144.6
148.76562,143
148.84638,143
148.9629,144.6
148.97943,143.1
149.43402,141.4
149.51402,141.4
149.62673,143
149.64936,141.5
150.10242,139.9
150.29054,141.4
150.31929,139.9
150.95436,138.3
150.98923,138.4
151.61818,138.3
151.83999,139.8
152.282,136.8
152.50533,136.7
153.17068,136.7
153.83603,135.2
154.19999,135.2
154.50138,133.6
154.87833,133.7
155.16672,132.1
155.29999,133.7
155.55666,132.1
155.83207,132.1
155.97604,132.2
156.23499,132.1
156.49742,130.5
156.65208,130.6
156.91332,130.6
157.16277,129
157.32812,130.6
157.59166,129
157.82811,127.4
158.00416,129.1
158.26999,127.5
158.49346,127.4
158.6802,127.5
158.94833,127.5
159.15881,125.9
159.35624,125.9
159.62666,125.9
159.86998,127.5
160.03229,124.4
160.30499,124.3
160.53915,125.9
160.66999,125.9
160.70833,124.4
160.79999,125.9
160.98332,124.3
161.20832,124.3
161.3361,124.4
161.38437,124.4
161.46687,124.3
161.66166,122.8
161.87749,124.3
162.00221,124.4
162.06041,122.8
162.13375,124.3
162.38999,124.4
162.54665,122.8
162.66832,122.8
162.73645,122.8
162.80062,122.8
163.05228,122.8
163.21582,122.8
163.33444,122.8
163.4675,122.8
163.71458,122.8
163.88499,121.2
164.00055,121.3
164.13437,121.2
164.37687,121.2
164.39998,121.3
164.55416,121.2
164.58999,122.8
164.66666,121.3
164.80124,121.2
165.03916,121.2
165.06762,121.3
165.16,121.2
165.22332,119.7
165.26832,121.2
165.33277,119.7
165.44999,121.3
165.46812,119.7
165.70145,119.7
165.73526,119.7
165.82763,121.2
165.89249,119.7
165.94666,121.2
165.99888,118.2
166.10082,119.7
166.135,119.7
166.36374,119.7
